id,species,location,climbing_style,pred.regime,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
lc_2017_09_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,0.051294235,0.009130158,0.036606172,0.0327699,-0.005789889,0.009402028,-0.004051643,-0.008653677,-0.004647036,-0.003271996,0.004310291,-0.000687505,0.004508201,-0.001105822,0.00167358,0.002596389,-0.00087831,-0.002972212,-0.001857019,0.000557253
lc_2017_10_lateral.JPG,Lentipes concolor,nanue2,powerburst,Free,0.015456727,-0.010694213,0.018918057,0.036548799,-0.004622075,-0.003247241,-0.001520526,0.000236015,-0.005609831,-0.004943914,-0.002815909,0.002550187,-0.004100441,0.000754646,-0.00222329,0.003186374,0.002804033,-0.000799115,0.00213727,0.000342095
2016_sl_04_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.0696443,-0.026137664,0.018129109,-0.020824587,0.001885104,0.012664381,0.009142992,0.009494383,0.004078737,-0.006659243,-0.005095642,-0.007471608,-0.001597485,0.00054609,0.001735879,-0.005353141,-0.004289706,-0.002304877,-0.00057966,-0.000154201
2016_sl_06_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.035695688,-0.006966471,0.001658242,-0.027732224,-0.004341885,-0.003195084,0.008856634,0.012477445,0.006755382,0.001252766,-0.002388132,0.006838026,0.004867508,-0.002681093,-0.002255307,0.001076198,-0.002573406,-0.000766388,0.001744445,-0.001297842
2016_sl_08_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.053502135,-0.01328796,0.01778141,-0.014094417,-0.001179407,0.009108113,0.002103908,0.000562946,-0.000443268,-7.49E-05,0.009370325,-0.002095164,0.001258533,0.007115827,0.001235678,-0.002031926,-0.006704791,-0.002043627,-0.000793553,0.00359399
2016_sl_09_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.028221661,-0.001154658,-0.001099214,-0.024639063,0.017050134,-0.008452851,0.008980134,-0.006353904,0.00186161,0.003019271,-0.00688003,-0.0047791,0.002844068,-0.002824777,0.002460233,0.006056545,0.006338835,-0.000847098,0.000241611,0.004253688
2016_sl_23_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.048741805,0.003804247,0.024739699,0.006519253,-0.021810797,-0.00409693,0.030839129,0.006534326,-0.002206019,0.001944175,0.001752934,0.009562978,-0.001712798,-0.001151339,0.00099289,-0.002567314,-0.00111254,0.001215472,-4.34E-05,0.001157343
2016_sl_27_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.025818147,-0.026715417,-0.015334587,-0.025760267,0.005701893,-0.003050769,0.004097839,0.01638777,-0.008365248,0.000614863,-3.27E-05,0.000244521,-0.005127637,-0.00040408,0.002102822,0.000640981,0.008067686,-0.000301223,-0.00289602,-0.000413194
2016_sl_29_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.039924187,0.013770092,-0.012127309,-0.01268793,0.001363711,0.002932113,0.005286544,0.006935059,0.000517935,0.004400742,0.001519948,-0.005122943,-0.001098973,-0.003329121,0.001459873,-0.003250449,0.002284916,0.000161501,0.000771167,0.001863544
2016_sl_30_lateral.JPG,Sicyopterus lagocephalus,reunion,inching,Diminished,0.051268078,-0.028103045,-0.032433417,0.009261922,0.002546475,-0.00749433,-0.000712089,0.007692361,-0.007217382,0.008540767,0.008683985,0.002388922,0.000289738,-0.005217436,-0.002655241,0.000298322,-0.001299396,0.001448479,0.002364047,-0.001914142
